sn1993ag   0.0500 0.0500 0.000 36.77300262 0.15314868 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1993o    0.0529 0.0529 0.000 36.82414246 0.14845422 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1993h    0.0251 0.0251 0.000 35.16781616 0.16542093 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1993b    0.0701 0.0701 0.000 37.56774139 0.15403068 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1992bs   0.0627 0.0627 0.000 37.55158234 0.14531714 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1992br   0.0876 0.0876 0.000 38.19156647 0.15949501 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1992bp   0.0786 0.0786 0.000 37.52127075 0.14742933 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1992bo   0.0172 0.0172 0.000 34.65466690 0.18802595 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1992bl   0.0422 0.0422 0.000 36.35865402 0.15231213 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1992bh   0.0453 0.0453 0.000 36.65661240 0.14875828 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1992bc   0.0196 0.0196 0.000 34.51823807 0.17908131 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1992aq   0.1009 0.1009 0.000 38.50881195 0.14527909 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1992ag   0.0273 0.0273 0.000 35.23005676 0.17193954 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1992ae   0.0746 0.0746 0.000 37.66636276 0.14793135 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1992p    0.0265 0.0265 0.000 35.51996994 0.18286490 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1990af   0.0499 0.0499 0.000 36.69996643 0.14653061 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1990o    0.0306 0.0306 0.000 35.54045486 0.16162460 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn2001cz   0.0163 0.0163 0.000 34.09245300 0.14477523 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn2001cn   0.0154 0.0154 0.000 34.03298569 0.15059754 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn2001ba   0.0305 0.0305 0.000 35.58181381 0.09200671 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn2000ca   0.0245 0.0245 0.000 34.95771790 0.10908569 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn2000bh   0.0240 0.0240 0.000 34.93552017 0.11562521 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1999gp   0.0260 0.0260 0.000 35.35662460 0.10678490 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1993ac   0.0489 0.0489 0.000 36.63911057 0.17669821 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1994m    0.0243 0.0243 0.000 35.07949066 0.18643840 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1994s    0.0152 0.0152 0.000 34.20411301 0.22551808 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1994t    0.0357 0.0357 0.000 36.10505295 0.18809417 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1995ac   0.0488 0.0488 0.000 36.35073471 0.16696198 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1995ak   0.0220 0.0220 0.000 34.88112259 0.19625877 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1996c    0.0275 0.0275 0.000 35.67358398 0.18150730 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1996ab   0.1244 0.1244 0.000 38.95216370 0.16801779 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1996bl   0.0360 0.0360 0.000 35.82603455 0.17377856 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1996bv   0.0167 0.0167 0.000 34.15926743 0.20935270 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1996bo   0.0163 0.0163 0.000 34.11447906 0.20988430 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn2000fa   0.0218 0.0218 0.000 34.90485001 0.28260887 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn2000dk   0.0165 0.0165 0.000 34.18183136 0.29221207 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn2000cn   0.0232 0.0232 0.000 35.11727905 0.27662221 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn2000cf   0.0365 0.0365 0.000 36.11427689 0.26725066 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1999gd   0.0193 0.0193 0.000 35.15599442 0.28569546 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1999ek   0.0176 0.0176 0.000 34.39435577 0.30888274 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1999cc   0.0315 0.0315 0.000 35.73460770 0.27071303 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1998eg   0.0235 0.0235 0.000 35.18702698 0.27888513 0.00 0.00 0.00 0.00 0.00 0.00 0.00
sn1998ef   0.0167 0.0167 0.000 33.88781357 0.29256746 0.00 0.00 0.00 0.00 0.00 0.00 0.00
